F1,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.12884,0.13283,0.16144,0.1572,0.14561,0.15464,0.15908,6.2178,1.1671,11.014,0.27469
0.13159,0.11922,0.13629,0.12037,0.14295,0.13112,0.1449,6.2276,1.1656,11.037,0.22259
0.12038,0.12017,0.13555,0.11954,0.13847,0.13244,0.14344,6.2407,1.2272,10.924,0.26154
0.11721,0.11618,0.13618,0.11419,0.13026,0.12819,0.13849,6.2565,1.1774,10.951,0.27932
0.11647,0.11759,0.13674,0.11835,0.13767,0.12944,0.14299,6.2287,1.171,10.992,0.26909
0.14724,0.13082,0.15429,0.1362,0.14153,0.13565,0.14432,6.3065,1.1789,12.157,0.32033
0.17195,0.14455,0.16215,0.13205,0.14359,0.15429,0.16371,6.5884,1.2507,10.946,0.27062
0.13721,0.13908,0.15445,0.12951,0.143,0.14597,0.13699,6.271,1.1838,10.982,0.27115
0.12455,0.12152,0.14677,0.12301,0.14275,0.12923,0.1374,6.201,1.1563,10.944,0.2593
0.12357,0.12277,0.14069,0.12058,0.13409,0.13182,0.13831,6.2243,1.166,10.951,0.26925
0.13131,0.1241,0.1456,0.11866,0.1377,0.13499,0.14263,6.2389,1.1605,10.973,0.25751
,,,,,,,,,,
0.1283235,0.1243115,0.1440615,0.125734,0.141254,0.1366805,0.1454905,6.295025,1.18024,11.0688,0.27065
F7,,,,,,,,,,
WOA,EWOA-2,EWOA-2a,EWOA-3,EWOA-3a,EWOA-4,EWOA-4a,CA,ABC,DE,GWO
0.35169,0.35962,0.41297,0.40301,0.38788,0.44067,0.39795,6.3736,1.3568,13.612,0.45935
0.33044,0.35173,0.41786,0.37651,0.40261,0.38975,0.41306,6.4037,1.342,13.48,0.44489
0.34198,0.35358,0.42556,0.4122,0.399,0.39039,0.40482,6.565,1.3394,13.693,0.45483
